Model,ROC AUC,PR AUC,Brier,Lift @10%,Threshold,Sensitivity,Specificity,PPV,NPV,% Flagged,F1 @cutoff
Logistic Regression,0.865,0.465,0.145,4.983,0.719,0.546,0.92,0.393,0.955,12.001,0.457
Random Forest,0.862,0.443,0.062,5.011,0.19,0.546,0.919,0.388,0.955,12.147,0.454
XGBoost,0.869,0.484,0.139,5.001,0.666,0.56,0.922,0.403,0.957,12.001,0.469
LightGBM,0.879,0.498,0.141,5.273,0.695,0.572,0.923,0.411,0.958,12.001,0.478
CatBoost,0.891,0.534,0.096,5.534,0.608,0.606,0.926,0.436,0.961,12.001,0.507
APACHE Baseline,0.837,0.401,0.064,4.768,0.14,0.532,0.916,0.374,0.954,12.284,0.439
